Cell	Cell_type
C_186	T cell
C_187	T cell
C_188	T cell
C_189	Sinusoidal endothelial cell
C_190	T cell
C_191	Sinusoidal endothelial cell
C_192	T cell
C_193	Sinusoidal endothelial cell
C_194	T cell
C_195	Sinusoidal endothelial cell
C_196	Neutrophil
C_197	Sinusoidal endothelial cell
C_198	Sinusoidal endothelial cell
C_199	T cell
C_200	Sinusoidal endothelial cell
C_201	Sinusoidal endothelial cell
C_202	Sinusoidal endothelial cell
C_203	Sinusoidal endothelial cell
C_204	T cell
C_205	T cell
C_206	Neutrophil
C_207	T cell
C_208	T cell
C_209	Sinusoidal endothelial cell
C_210	T cell
C_211	T cell
C_212	T cell
C_213	Sinusoidal endothelial cell
C_214	T cell
C_215	T cell
C_216	B cell
C_217	T cell
C_218	T cell
C_219	T cell
C_220	T cell
C_221	T cell
C_222	T cell
C_223	T cell
C_224	Sinusoidal endothelial cell
C_225	Sinusoidal endothelial cell
C_226	T cell
C_227	T cell
C_228	T cell
C_229	T cell
C_230	Sinusoidal endothelial cell
C_231	Sinusoidal endothelial cell
C_232	T cell
C_233	T cell
C_234	T cell
C_235	T cell
C_236	T cell
C_237	T cell
C_238	T cell
C_239	Sinusoidal endothelial cell
C_240	T cell
C_241	T cell
C_242	T cell
C_243	T cell
C_244	Sinusoidal endothelial cell
C_245	T cell
C_246	T cell
C_247	T cell
C_248	T cell
C_249	T cell
C_250	Sinusoidal endothelial cell
C_251	T cell
C_252	T cell
C_253	T cell
C_254	T cell
C_255	T cell
C_256	T cell
C_257	T cell
C_258	T cell
C_259	Erythroid progenitor cell (RP high)
C_260	T cell
C_261	Erythroid progenitor cell (RP high)
C_262	T cell
C_263	T cell
C_264	T cell
C_265	T cell
C_266	T cell
C_267	T cell
C_268	T cell
C_269	T cell
C_270	T cell
C_271	T cell
C_272	T cell
C_273	T cell
C_274	T cell
C_275	T cell
C_276	Erythroid progenitor cell (RP high)
C_277	T cell
C_278	T cell
C_279	T cell
C_280	T cell
C_281	T cell
C_282	T cell
C_283	T cell
C_284	T cell
C_285	T cell
C_286	T cell
C_287	T cell
C_288	T cell
C_289	T cell
C_290	T cell
C_291	T cell
C_292	T cell
C_293	T cell
C_294	T cell
C_295	T cell
C_296	T cell
C_297	T cell
C_298	T cell
C_299	T cell
C_300	T cell
C_301	T cell
C_302	T cell
C_303	T cell
C_304	T cell
C_305	T cell
C_306	T cell
C_307	T cell
C_308	Neutrophil
C_309	T cell
C_310	T cell
C_311	T cell
C_312	T cell
C_313	T cell
C_314	T cell
C_315	T cell
C_316	T cell
C_317	T cell
C_318	T cell
C_319	T cell
C_320	T cell
C_321	T cell
C_322	Dendritic cell
C_323	T cell
C_324	T cell
C_325	T cell
C_326	T cell
C_327	T cell
C_328	T cell
C_329	T cell
C_330	T cell
C_331	T cell
C_332	T cell
C_333	Sinusoidal endothelial cell
C_334	T cell
C_335	T cell
C_336	T cell
C_337	T cell
C_338	T cell
C_339	T cell
C_340	T cell
C_341	T cell
C_342	T cell
C_343	T cell
C_344	T cell
C_345	T cell
C_346	T cell
C_347	T cell
C_348	T cell
C_349	T cell
C_350	T cell
C_351	T cell
C_352	T cell
C_353	T cell
C_354	T cell
C_355	T cell
C_356	T cell
C_357	T cell
C_358	T cell
C_359	T cell
C_360	T cell
C_361	T cell
C_362	T cell
C_363	B cell (Plasmocyte)
C_364	T cell
C_365	Sinusoidal endothelial cell
C_366	T cell
C_367	T cell
C_368	T cell
C_369	T cell
C_370	T cell
C_371	T cell
C_372	Pancreas exocrine cell
C_373	Sinusoidal endothelial cell
C_374	T cell
C_375	T cell
C_376	T cell
C_377	Sinusoidal endothelial cell
C_378	Sinusoidal endothelial cell
C_379	T cell
C_380	Sinusoidal endothelial cell
C_381	T cell
C_382	T cell
C_383	T cell
C_384	T cell
C_385	T cell
C_386	Erythroid progenitor cell (RP high)
C_387	T cell
C_388	T cell
C_389	T cell
C_390	Sinusoidal endothelial cell
C_391	T cell
C_392	T cell
C_393	T cell
C_394	T cell
C_395	T cell
C_396	T cell
C_397	T cell
C_398	T cell
C_399	T cell
C_400	T cell
C_401	T cell
C_402	T cell
C_403	T cell
C_404	T cell
C_405	T cell
C_406	T cell
C_407	T cell
C_408	T cell
C_409	T cell
C_410	T cell
C_411	T cell
C_412	T cell
C_413	Erythroid progenitor cell (RP high)
C_414	Sinusoidal endothelial cell
C_415	Sinusoidal endothelial cell
C_416	Sinusoidal endothelial cell
C_417	Sinusoidal endothelial cell
C_418	Sinusoidal endothelial cell
C_419	Sinusoidal endothelial cell
C_420	Sinusoidal endothelial cell
C_421	Sinusoidal endothelial cell
C_422	Sinusoidal endothelial cell
C_423	Sinusoidal endothelial cell
C_424	Sinusoidal endothelial cell
C_425	Sinusoidal endothelial cell
C_426	Sinusoidal endothelial cell
C_427	Sinusoidal endothelial cell
C_428	Sinusoidal endothelial cell
C_429	Sinusoidal endothelial cell
C_430	Endothelial cell (APC)
C_431	Sinusoidal endothelial cell
C_432	Sinusoidal endothelial cell
C_433	Sinusoidal endothelial cell
C_434	Sinusoidal endothelial cell
C_435	Sinusoidal endothelial cell
C_436	Sinusoidal endothelial cell
C_437	Sinusoidal endothelial cell
C_438	Sinusoidal endothelial cell
C_439	Sinusoidal endothelial cell
C_440	Sinusoidal endothelial cell
C_441	Sinusoidal endothelial cell
C_442	Sinusoidal endothelial cell
C_443	Sinusoidal endothelial cell
C_444	Sinusoidal endothelial cell
C_445	Sinusoidal endothelial cell
C_446	Sinusoidal endothelial cell
C_447	Sinusoidal endothelial cell
C_448	Sinusoidal endothelial cell
C_449	Sinusoidal endothelial cell
C_450	Sinusoidal endothelial cell
C_451	Sinusoidal endothelial cell
C_452	Sinusoidal endothelial cell
C_453	Sinusoidal endothelial cell
C_454	Sinusoidal endothelial cell
C_455	Sinusoidal endothelial cell
C_456	Sinusoidal endothelial cell
C_457	Sinusoidal endothelial cell
C_458	Sinusoidal endothelial cell
C_459	Sinusoidal endothelial cell
C_460	Sinusoidal endothelial cell
C_461	Sinusoidal endothelial cell
C_462	Sinusoidal endothelial cell
C_463	Sinusoidal endothelial cell
C_464	Sinusoidal endothelial cell
C_465	Sinusoidal endothelial cell
C_466	Sinusoidal endothelial cell
C_467	Sinusoidal endothelial cell
C_468	Sinusoidal endothelial cell
C_469	Sinusoidal endothelial cell
C_470	Sinusoidal endothelial cell
C_471	Sinusoidal endothelial cell
C_472	Sinusoidal endothelial cell
C_473	Sinusoidal endothelial cell
C_474	Sinusoidal endothelial cell
C_475	Sinusoidal endothelial cell
C_476	Sinusoidal endothelial cell
C_477	Sinusoidal endothelial cell
C_478	Sinusoidal endothelial cell
C_479	Sinusoidal endothelial cell
C_480	Sinusoidal endothelial cell
C_481	Sinusoidal endothelial cell
C_482	Sinusoidal endothelial cell
C_483	Monocyte
C_484	Sinusoidal endothelial cell
C_485	Sinusoidal endothelial cell
C_486	Sinusoidal endothelial cell
C_487	Sinusoidal endothelial cell
C_488	Sinusoidal endothelial cell
C_489	Sinusoidal endothelial cell
C_490	Sinusoidal endothelial cell
C_491	Sinusoidal endothelial cell
C_492	Sinusoidal endothelial cell
C_493	Sinusoidal endothelial cell
C_494	Sinusoidal endothelial cell
C_495	Sinusoidal endothelial cell
C_496	Sinusoidal endothelial cell
C_497	Sinusoidal endothelial cell
C_498	Sinusoidal endothelial cell
C_499	Sinusoidal endothelial cell
C_500	Sinusoidal endothelial cell
C_501	Sinusoidal endothelial cell
C_502	Sinusoidal endothelial cell
C_503	Sinusoidal endothelial cell
C_504	Sinusoidal endothelial cell
C_505	Sinusoidal endothelial cell
C_506	Sinusoidal endothelial cell
C_507	Sinusoidal endothelial cell
C_508	Sinusoidal endothelial cell
C_509	Sinusoidal endothelial cell
C_510	Sinusoidal endothelial cell
C_511	Sinusoidal endothelial cell
C_512	Sinusoidal endothelial cell
C_513	Sinusoidal endothelial cell
C_514	Sinusoidal endothelial cell
C_515	Sinusoidal endothelial cell
C_516	Sinusoidal endothelial cell
C_517	Sinusoidal endothelial cell
C_518	Sinusoidal endothelial cell
C_519	Sinusoidal endothelial cell
C_520	Sinusoidal endothelial cell
C_521	Sinusoidal endothelial cell
C_522	Sinusoidal endothelial cell
C_523	Sinusoidal endothelial cell
C_524	Sinusoidal endothelial cell
C_525	Sinusoidal endothelial cell
C_526	Sinusoidal endothelial cell
C_527	Sinusoidal endothelial cell
C_528	Sinusoidal endothelial cell
C_529	Sinusoidal endothelial cell
C_530	Sinusoidal endothelial cell
C_531	Sinusoidal endothelial cell
C_532	Sinusoidal endothelial cell
C_533	Sinusoidal endothelial cell
C_534	Monocyte
C_535	Sinusoidal endothelial cell
C_536	Sinusoidal endothelial cell
C_537	Sinusoidal endothelial cell
C_538	Sinusoidal endothelial cell
C_539	Sinusoidal endothelial cell
C_540	Sinusoidal endothelial cell
C_541	Sinusoidal endothelial cell
C_542	Sinusoidal endothelial cell
C_543	Sinusoidal endothelial cell
C_544	Sinusoidal endothelial cell
C_545	Sinusoidal endothelial cell
C_546	Sinusoidal endothelial cell
C_547	Sinusoidal endothelial cell
C_548	Sinusoidal endothelial cell
C_549	Sinusoidal endothelial cell
C_550	Sinusoidal endothelial cell
C_551	Dendritic cell
C_552	Sinusoidal endothelial cell
C_553	Sinusoidal endothelial cell
C_554	Endothelial cell (APC)
C_555	Sinusoidal endothelial cell
C_556	Sinusoidal endothelial cell
C_557	Sinusoidal endothelial cell
C_558	Sinusoidal endothelial cell
C_559	Sinusoidal endothelial cell
C_560	Sinusoidal endothelial cell
C_561	Sinusoidal endothelial cell
C_562	Sinusoidal endothelial cell
C_563	Sinusoidal endothelial cell
C_564	Sinusoidal endothelial cell
C_565	Sinusoidal endothelial cell
C_566	Sinusoidal endothelial cell
C_567	Sinusoidal endothelial cell
C_568	Sinusoidal endothelial cell
C_569	Sinusoidal endothelial cell
C_570	Sinusoidal endothelial cell
C_571	Sinusoidal endothelial cell
C_572	Sinusoidal endothelial cell
C_573	Sinusoidal endothelial cell
C_574	Sinusoidal endothelial cell
C_575	Sinusoidal endothelial cell
C_576	Sinusoidal endothelial cell
C_577	Sinusoidal endothelial cell
C_578	Sinusoidal endothelial cell
C_579	Sinusoidal endothelial cell
C_580	Sinusoidal endothelial cell
C_581	Sinusoidal endothelial cell
C_582	Sinusoidal endothelial cell
C_583	Sinusoidal endothelial cell
C_584	Sinusoidal endothelial cell
C_585	Sinusoidal endothelial cell
C_586	Sinusoidal endothelial cell
C_587	Sinusoidal endothelial cell
C_588	Sinusoidal endothelial cell
C_589	Sinusoidal endothelial cell
C_590	Sinusoidal endothelial cell
C_591	Sinusoidal endothelial cell
C_592	Sinusoidal endothelial cell
C_593	Sinusoidal endothelial cell
C_594	Sinusoidal endothelial cell
C_595	Sinusoidal endothelial cell
C_596	Sinusoidal endothelial cell
C_597	Sinusoidal endothelial cell
C_598	Sinusoidal endothelial cell
C_599	Sinusoidal endothelial cell
C_600	Sinusoidal endothelial cell
C_601	Sinusoidal endothelial cell
C_602	Sinusoidal endothelial cell
C_603	Sinusoidal endothelial cell
C_604	Sinusoidal endothelial cell
C_605	Sinusoidal endothelial cell
C_606	Sinusoidal endothelial cell
C_607	Sinusoidal endothelial cell
C_608	Sinusoidal endothelial cell
C_609	Sinusoidal endothelial cell
C_610	Sinusoidal endothelial cell
C_611	Sinusoidal endothelial cell
C_612	Sinusoidal endothelial cell
C_613	Sinusoidal endothelial cell
C_614	Sinusoidal endothelial cell
C_615	Sinusoidal endothelial cell
C_616	Sinusoidal endothelial cell
C_617	Sinusoidal endothelial cell
C_618	Sinusoidal endothelial cell
C_619	Sinusoidal endothelial cell
C_620	Sinusoidal endothelial cell
C_621	Sinusoidal endothelial cell
C_622	Sinusoidal endothelial cell
C_623	Sinusoidal endothelial cell
C_624	Sinusoidal endothelial cell
C_625	Sinusoidal endothelial cell
C_626	Sinusoidal endothelial cell
C_627	Sinusoidal endothelial cell
C_628	Sinusoidal endothelial cell
C_629	Sinusoidal endothelial cell
C_630	Sinusoidal endothelial cell
C_631	Sinusoidal endothelial cell
C_632	Sinusoidal endothelial cell
C_633	Sinusoidal endothelial cell
C_634	Sinusoidal endothelial cell
C_635	Sinusoidal endothelial cell
C_636	Sinusoidal endothelial cell
C_637	Sinusoidal endothelial cell
C_638	Sinusoidal endothelial cell
C_639	Sinusoidal endothelial cell
C_640	Sinusoidal endothelial cell
C_641	Sinusoidal endothelial cell
C_642	Sinusoidal endothelial cell
C_643	Sinusoidal endothelial cell
C_644	Sinusoidal endothelial cell
C_645	Sinusoidal endothelial cell
C_646	Sinusoidal endothelial cell
C_647	Sinusoidal endothelial cell
C_648	Sinusoidal endothelial cell
C_649	Sinusoidal endothelial cell
C_650	Sinusoidal endothelial cell
C_651	Sinusoidal endothelial cell
C_652	Sinusoidal endothelial cell
C_653	Sinusoidal endothelial cell
C_654	Sinusoidal endothelial cell
C_655	Sinusoidal endothelial cell
C_656	Sinusoidal endothelial cell
C_657	Sinusoidal endothelial cell
C_658	Sinusoidal endothelial cell
C_659	Sinusoidal endothelial cell
C_660	Sinusoidal endothelial cell
C_661	Sinusoidal endothelial cell
C_662	Sinusoidal endothelial cell
C_663	Sinusoidal endothelial cell
C_664	Sinusoidal endothelial cell
C_665	Sinusoidal endothelial cell
C_666	Sinusoidal endothelial cell
C_667	Sinusoidal endothelial cell
C_668	Sinusoidal endothelial cell
C_669	Sinusoidal endothelial cell
C_670	Sinusoidal endothelial cell
C_671	Sinusoidal endothelial cell
C_672	Sinusoidal endothelial cell
C_673	Sinusoidal endothelial cell
C_674	Sinusoidal endothelial cell
C_675	Sinusoidal endothelial cell
C_676	Sinusoidal endothelial cell
C_677	Sinusoidal endothelial cell
C_678	Sinusoidal endothelial cell
C_679	Sinusoidal endothelial cell
C_680	Sinusoidal endothelial cell
C_681	Sinusoidal endothelial cell
C_682	Endothelial cell
C_683	B cell (Plasmocyte)
C_684	B cell (Plasmocyte)
C_685	B cell (Plasmocyte)
C_686	B cell (Plasmocyte)
C_687	B cell (Plasmocyte)
C_688	B cell (Plasmocyte)
C_689	B cell (Plasmocyte)
C_690	B cell (Plasmocyte)
C_691	B cell (Plasmocyte)
C_692	B cell (Plasmocyte)
C_693	B cell (Plasmocyte)
C_694	B cell (Plasmocyte)
C_695	B cell (Plasmocyte)
C_696	B cell (Plasmocyte)
C_697	B cell (Plasmocyte)
C_698	B cell (Plasmocyte)
C_699	B cell (Plasmocyte)
C_700	B cell (Plasmocyte)
C_701	B cell (Plasmocyte)
C_702	B cell (Plasmocyte)
C_703	B cell (Plasmocyte)
C_704	B cell (Plasmocyte)
C_705	B cell (Plasmocyte)
C_706	B cell (Plasmocyte)
C_707	B cell (Plasmocyte)
C_708	B cell (Plasmocyte)
C_709	B cell (Plasmocyte)
C_710	B cell (Plasmocyte)
C_711	B cell (Plasmocyte)
C_712	B cell (Plasmocyte)
C_713	B cell (Plasmocyte)
C_714	B cell (Plasmocyte)
C_715	B cell (Plasmocyte)
C_716	B cell (Plasmocyte)
C_717	B cell (Plasmocyte)
C_718	B cell (Plasmocyte)
C_719	T cell
C_720	B cell (Plasmocyte)
C_721	B cell (Plasmocyte)
C_722	B cell (Plasmocyte)
C_723	B cell (Plasmocyte)
C_724	B cell (Plasmocyte)
C_725	B cell (Plasmocyte)
C_726	B cell (Plasmocyte)
C_727	B cell (Plasmocyte)
C_728	B cell (Plasmocyte)
C_729	B cell (Plasmocyte)
C_730	B cell (Plasmocyte)
C_731	B cell (Plasmocyte)
C_732	B cell (Plasmocyte)
C_733	B cell (Plasmocyte)
C_734	B cell (Plasmocyte)
C_735	B cell (Plasmocyte)
C_736	B cell (Plasmocyte)
C_737	B cell (Plasmocyte)
C_738	B cell (Plasmocyte)
C_739	B cell (Plasmocyte)
C_740	B cell (Plasmocyte)
C_741	B cell (Plasmocyte)
C_742	B cell (Plasmocyte)
C_743	B cell (Plasmocyte)
C_744	B cell (Plasmocyte)
C_745	B cell (Plasmocyte)
C_746	B cell (Plasmocyte)
C_747	B cell (Plasmocyte)
C_748	B cell (Plasmocyte)
C_749	B cell (Plasmocyte)
C_750	B cell (Plasmocyte)
C_751	B cell (Plasmocyte)
C_752	B cell (Plasmocyte)
C_753	B cell (Plasmocyte)
C_754	B cell (Plasmocyte)
C_755	B cell (Plasmocyte)
C_756	B cell (Plasmocyte)
C_757	B cell (Plasmocyte)
C_758	B cell (Plasmocyte)
C_759	B cell (Plasmocyte)
C_760	Sinusoidal endothelial cell
C_761	B cell (Plasmocyte)
C_762	Neutrophil
C_763	B cell (Plasmocyte)
C_764	B cell (Plasmocyte)
C_765	B cell (Plasmocyte)
C_766	B cell (Plasmocyte)
C_767	B cell (Plasmocyte)
C_768	B cell (Plasmocyte)
C_769	B cell (Plasmocyte)
C_770	B cell (Plasmocyte)
C_771	B cell (Plasmocyte)
C_772	T cell
C_773	B cell (Plasmocyte)
C_774	B cell (Plasmocyte)
C_775	B cell (Plasmocyte)
C_776	B cell (Plasmocyte)
C_777	B cell (Plasmocyte)
C_778	B cell (Plasmocyte)
C_779	B cell (Plasmocyte)
C_780	B cell (Plasmocyte)
C_781	B cell (Plasmocyte)
C_782	B cell (Plasmocyte)
C_783	B cell (Plasmocyte)
C_784	B cell (Plasmocyte)
C_785	B cell (Plasmocyte)
C_786	B cell (Plasmocyte)
C_787	B cell (Plasmocyte)
C_788	B cell (Plasmocyte)
C_789	B cell (Plasmocyte)
C_790	B cell (Plasmocyte)
C_791	B cell (Plasmocyte)
C_792	B cell (Plasmocyte)
C_793	B cell (Plasmocyte)
C_794	B cell (Plasmocyte)
C_795	T cell
C_796	Sinusoidal endothelial cell
C_797	B cell (Plasmocyte)
C_798	B cell (Plasmocyte)
C_799	B cell (Plasmocyte)
C_800	B cell (Plasmocyte)
C_801	B cell (Plasmocyte)
C_802	B cell (Plasmocyte)
C_803	B cell (Plasmocyte)
C_804	B cell (Plasmocyte)
C_805	B cell (Plasmocyte)
C_806	B cell (Plasmocyte)
C_807	B cell (Plasmocyte)
C_808	Antigen presenting cell (RPS high)
C_809	B cell (Plasmocyte)
C_810	B cell (Plasmocyte)
C_811	B cell (Plasmocyte)
C_812	B cell (Plasmocyte)
C_813	Sinusoidal endothelial cell
C_814	B cell (Plasmocyte)
C_815	B cell (Plasmocyte)
C_816	B cell (Plasmocyte)
C_817	B cell (Plasmocyte)
C_818	B cell (Plasmocyte)
C_819	B cell (Plasmocyte)
C_820	B cell (Plasmocyte)
C_821	B cell (Plasmocyte)
C_822	B cell (Plasmocyte)
C_823	B cell (Plasmocyte)
C_824	B cell (Plasmocyte)
C_825	B cell (Plasmocyte)
C_826	B cell (Plasmocyte)
C_827	B cell (Plasmocyte)
C_828	B cell (Plasmocyte)
C_829	B cell (Plasmocyte)
C_830	B cell (Plasmocyte)
C_831	B cell (Plasmocyte)
C_832	B cell (Plasmocyte)
C_833	B cell (Plasmocyte)
C_834	B cell (Plasmocyte)
C_835	B cell (Plasmocyte)
C_836	B cell (Plasmocyte)
C_837	B cell (Plasmocyte)
C_838	B cell
C_839	B cell (Plasmocyte)
C_840	B cell (Plasmocyte)
C_841	B cell (Plasmocyte)
C_842	B cell (Plasmocyte)
C_843	B cell (Plasmocyte)
C_844	B cell (Plasmocyte)
C_845	B cell (Plasmocyte)
C_846	B cell (Plasmocyte)
C_847	B cell (Plasmocyte)
C_848	B cell (Plasmocyte)
C_849	B cell (Plasmocyte)
C_850	B cell (Plasmocyte)
C_851	B cell (Plasmocyte)
C_852	B cell (Plasmocyte)
C_853	B cell (Plasmocyte)
C_854	B cell (Plasmocyte)
C_855	B cell (Plasmocyte)
C_856	B cell (Plasmocyte)
C_857	T cell
C_858	B cell (Plasmocyte)
C_859	B cell (Plasmocyte)
C_860	B cell (Plasmocyte)
C_861	B cell (Plasmocyte)
C_862	B cell (Plasmocyte)
C_863	B cell (Plasmocyte)
C_864	B cell (Plasmocyte)
C_865	B cell (Plasmocyte)
C_866	B cell (Plasmocyte)
C_867	B cell (Plasmocyte)
C_868	B cell (Plasmocyte)
C_869	B cell (Plasmocyte)
C_870	B cell
C_871	B cell (Plasmocyte)
C_872	B cell (Plasmocyte)
C_873	B cell (Plasmocyte)
C_874	B cell (Plasmocyte)
C_875	B cell (Plasmocyte)
C_876	B cell (Plasmocyte)
C_877	B cell (Plasmocyte)
C_878	Monocyte
C_879	Monocyte
C_880	Monocyte
C_881	Monocyte
C_882	Antigen presenting cell (RPS high)
C_883	Sinusoidal endothelial cell
C_884	Monocyte
C_885	Antigen presenting cell (RPS high)
C_886	Monocyte
C_887	Neutrophil
C_888	Monocyte
C_889	Neutrophil
C_890	Monocyte
C_891	Monocyte
C_892	Monocyte
C_893	Monocyte
C_894	Sinusoidal endothelial cell
C_895	Monocyte
C_896	Monocyte
C_897	Monocyte
C_898	Monocyte
C_899	Sinusoidal endothelial cell
C_900	Monocyte
C_901	Monocyte
C_902	Monocyte
C_903	Monocyte
C_904	B cell (Plasmocyte)
C_905	Macrophage
C_906	Monocyte
C_907	Monocyte
C_908	Monocyte
C_909	Monocyte
C_910	Monocyte
C_911	Monocyte
C_912	Monocyte
C_913	Dendritic cell
C_914	Monocyte
C_915	Monocyte
C_916	Antigen presenting cell (RPS high)
C_917	Monocyte
C_918	Monocyte
C_919	Macrophage
C_920	Monocyte
C_921	Antigen presenting cell (RPS high)
C_922	Monocyte
C_923	Antigen presenting cell (RPS high)
C_924	Monocyte
C_925	Monocyte
C_926	Monocyte
C_927	Monocyte
C_928	Monocyte
C_929	Monocyte
C_930	Monocyte
C_931	Sinusoidal endothelial cell
C_932	Sinusoidal endothelial cell
C_933	Sinusoidal endothelial cell
C_934	Monocyte
C_935	Monocyte
C_936	Monocyte
C_937	Antigen presenting cell (RPS high)
C_938	Monocyte
C_939	Monocyte
C_940	Antigen presenting cell (RPS high)
C_941	Monocyte
C_942	Dendritic cell
C_943	Monocyte
C_944	Monocyte
C_945	Monocyte
C_946	Monocyte
C_947	Monocyte
C_948	Monocyte
C_949	Antigen presenting cell (RPS high)
C_950	Antigen presenting cell (RPS high)
C_951	Sinusoidal endothelial cell
C_952	Monocyte
C_953	Antigen presenting cell (RPS high)
C_954	Monocyte
C_955	Monocyte
C_956	Monocyte
C_957	Sinusoidal endothelial cell
C_958	Monocyte
C_959	Monocyte
C_960	Monocyte
C_961	Monocyte
C_962	Antigen presenting cell (RPS high)
C_963	Monocyte
C_964	Monocyte
C_965	Monocyte
C_966	Monocyte
C_967	Monocyte
C_968	Monocyte
C_969	Monocyte
C_970	Monocyte
C_971	Monocyte
C_972	Monocyte
C_973	Monocyte
C_974	Monocyte
C_975	Sinusoidal endothelial cell
C_976	Monocyte
C_977	Monocyte
C_978	Monocyte
C_979	Monocyte
C_980	Monocyte
C_981	Monocyte
C_982	Antigen presenting cell (RPS high)
C_983	Monocyte
C_984	Dendritic cell
C_985	Monocyte
C_986	Monocyte
C_987	Monocyte
C_988	Dendritic cell
C_989	Monocyte
C_990	Monocyte
C_991	Monocyte
C_992	Monocyte
C_993	Dendritic cell
C_994	Monocyte
C_995	Monocyte
C_996	Monocyte
C_997	Neutrophil
C_998	Monocyte
C_999	Monocyte
C_1000	Monocyte
C_1001	Monocyte
C_1002	Monocyte
C_1003	Monocyte
C_1004	Monocyte
C_1005	Antigen presenting cell (RPS high)
C_1006	Monocyte
C_1007	Monocyte
